 #Farmlands
 city_munich:0 "Farmlands\nMünchen"
 city_milan:0 "Farmlands\nMilan"
 city_augsburg:0 "Farmlands\nAugsburg"
 city_dijon:0 "Farmlands\nDijon"
 city_paris:0 "Farmlands\nParis"
 city_vienna:0 "Farmlands\nVienna"
 city_rome:0 "Farmlands\nRome"
 city_naples:0 "Farmlands\nNaples"
 city_prague:0 "Farmlands\nPrague"
 city_constantinople:0 "Farmlands\nConstantinople"
 city_budapest:0 "Farmlands\nBudapest"
 city_rouen:0 "Farmlands\nRouen"
 city_york:0 "Farmlands\nYork"
 city_london:0 "Farmlands\nLondon"
 city_rennes:0 "Farmlands\nRennes"
 city_danzig:0 "Farmlands\nDanzig"
 city_palermo:0 "Farmlands\nPalermo"
 city_edinburgh:0 "Farmlands\nEdinburgh"
 city_copenhagen:0 "Farmlands\nCopenhagen"
 city_warsaw:0 "Farmlands\nWarsaw"
 city_thessaloniki:0 "Farmlands\nThessaloniki"
 city_cairo:0 "Farmlands\nCairo"
 city_alexandria:0 "Farmlands\nAlexandria"
 city_damietta:0 "Farmlands\nDamietta"
 city_heidelberg:0 "Farmlands\nHeidelberg"
 city_frankfurt:0 "Farmlands\nFrankfurt"
 city_hamburg:0 "Farmlands\nHamburg"
 city_luebeck:0 "Farmlands\nLübeck"
 city_stuttgart:0 "Farmlands\nStuttgart"
 city_baghdad:0 "Farmlands\nBaghdad"
 city_amsterdam:0 "Farmlands\nAmsterdam"
 city_antwerp:0 "Farmlands\nAntwerp"
 city_brussels:0 "Farmlands\nBrussels"
 city_brugge:0 "Farmlands\nBrugge"
 city_delhi:0 "Farmlands\nDelhi"
 city_beijing:0 "Farmlands\nBeijing"
 #Woods
 city_nuernberg:0 "Woods\nNürnberg"
 city_bordeaux:0 "Woods\nBordeaux"
 city_berlin:0 "Woods\nBerlin"
 city_cologne:0 "Woods\nKöln"
 city_aachen:0 "Woods\nAachen"
 city_pfalz:0 "Woods\nWorms"
 city_konigsberg:0 "Woods\nKönigsberg"
 city_bristol:0 "Woods\nBristol"
 city_riga:0 "Woods\nRiga"
 city_lemberg:0 "Woods\nLemberg"
 city_vilnius:0 "Woods\nVilnius"
 city_novgorod:0 "Woods\nNovgorod"
 city_bursa:0 "Woods\nBursa"
 city_metz:0 "Woods\nMetz"
 city_wittenberg:0 "Woods\nWittenberg"
 city_braunschweig:0 "Woods\nBraunschweig"
 city_stettin:0 "Woods\nStettin"
 #Hills
 city_toulouse:0 "Hills\nToulouse"
 city_florence:0 "Hills\nFlorence"
 city_lyon:0 "Hills\nLyon"
 city_marseille:0 "Hills\nMarseille"
 city_bern:0 "Hills\nBern"
 city_zurich:0 "Hills\nZurich"
 city_genoa:0 "Hills\nGenoa"
 city_sarajevo:0 "Hills\nSarajevo"
 city_belgrad:0 "Hills\nBelgrade"
 city_ancona:0 "Hills\nAncona"
 city_nice:0 "Hills\nNice"
 #Grasslands
 city_madrid:0 "Grasslands\nMadrid"
 city_toledo:0 "Grasslands\nToledo"
 city_lisbon:0 "Grasslands\nLisbon"
 city_porto:0 "Grasslands\nPorto"
 city_barcelona:0 "Grasslands\nBarcelona"
 city_strasbourg:0 "Grasslands\nStraußburg"
 city_lausanne:0 "Grasslands\nLausanne"
 city_avignon:0 "Grasslands\nAvignon"
 city_dalmatia:0 "Grasslands\nZara"
 city_ragusa:0 "Grasslands\nRagusa"
 city_athens:0 "Grasslands\nAthens"
 city_dublin:0 "Grasslands\nDublin"
 city_stockholm:0 "Grasslands\nStockholm"
 city_neva:0 "Grasslands\nNeva"
 city_moscow:0 "Grasslands\nMoscow"
 city_tver:0 "Grasslands\nTver"
 city_yaroslavl:0 "Grasslands\nYaroslavl"
 city_smolensk:0 "Grasslands\nSmolensk"
 city_edirne:0 "Grasslands\nEdirne"
 city_leon:0 "Grasslands\nLéon"
 city_salamanca:0 "Grasslands\nSalamanca"
 #Drylands
 city_sevilla:0 "Drylands\nSevilla"
 city_cadiz:0 "Drylands\nCadiz"
 city_tangiers:0 "Drylands\nTangiers"
 city_tunis:0 "Drylands\nTunis"
 city_valencia:0 "Drylands\nValencia"
 city_zaragoza:0 "Drylands\nZaragoza"
 city_algiers:0 "Drylands\nAlgiers"
 city_jerusalem:0 "Drylands\nJerusalem"
 city_damascus:0 "Drylands\nDamascus"
 city_aleppo:0 "Drylands\nAleppo"
 city_acre:0 "Drylands\nAcre"
 city_hormuz:0 "Drylands\nHormuz"
 #Mountains
 city_granada:0 "Mountains\nGranada"
 city_navarra:0 "Mountains\nNavarre"
 city_salzburg:0 "Mountains\nSalzburg"
 city_sanaa:0 "Mountains\nSanaa"
 city_mecca:0 "Mountains\nMecca"
 city_trebizond:0 "Mountains\nTrebizond"
 #Forest
 city_oslo:0 "Forest\nOslo"
 #Coastal Desert
 city_jeddah:0 "Coastal Desert\nJeddah"
 city_muscat:0 "Coastal Desert\nMuscat"
 #Coastline
 city_venice:0 "Coastline\nVenice"
 city_rhodes:0 "Coastline\nRhodes"
 #Highlands
 city_krakow:0 "Highlands\nKrakow"
